,CNOOC,State_Grid,PetroChina,CNNC ,Trina_Solar,Tokyo_Electric ,Brookfield ,BP,ConocoPhillips,Canadian_Solar ,Chevron,Duke_Energy,Enbridge,Enel,Eni,E.ON,Enterprise,Equinor,Energy_Transfer,Exelon,First_Solar ,Gazprom,Iberdrola,Indian_Oil,Inter_Rao,Kinder_Morgan,NextEra,NEL,Neste,Petrobras ,Rosneft,REW,Suncor,Tata_Power,Tullow_Oil,TC_Energy,Vestas,Williams,ExxonMobil 
833,10.73999977,13.71000004,5.559999943,6.5,71.25,528.0,37.06000137,31.12999916,110.2600021,44.38000107,157.8500061,107.0,41.34000015,4.699999809,12.28999996,8.930000305,26.29000092,38.88999939,11.75,44.08000183,126.4100037,250.0,10.60999966,70.94999695,3.3125,18.21999931,85.11000061,13.82499981,48.34000015,14.43999958,385.1,39.0,31.80999947,236.4499969,50.90000153,48.02999878,183.9400024,33.72000122,95.58999634
834,10.11999989,13.98999977,5.610000134,6.599999905,74.80000305,505.0,37.20000076,31.12999916,108.6299973,44.79000092,157.1199951,106.7600021,40.83000183,4.677499771,11.95199966,8.873999596,26.25,37.68000031,11.53999996,43.88999939,127.5999985,246.0,10.47000027,70.69999695,3.25,17.77000046,87.37000275,13.93500042,47.56999969,13.73999977,375.7,38.31999969,31.05999947,247.3500061,49.27999878,47.08000183,175.6000061,33.16999817,94.94999695
835,9.930000305,14.13000011,5.579999924,6.659999847,75.04000092,501.0,37.27999878,30.67000008,106.7600021,47.00999832,155.1100006,110.25,41.18000031,4.749000072,11.61800003,8.968000412,26.36000061,35.49000168,11.47000027,45.11000061,134.8000031,241.55,10.68999958,71.40000153,3.2555,17.85000038,90.23999786,13.52499962,47.0,13.77000046,375.95,41.06999969,30.46999931,246.9499969,47.91999817,47.95999908,177.6799927,33.29000092,94.13999939
836,9.569999695,14.15999985,5.53000021,6.659999847,74.97000122,503.0,37.72000122,30.70000076,108.3199997,43.75999832,155.9499969,109.1999969,41.13000107,4.806000233,11.58199978,8.894000053,26.53000069,35.54000092,11.57999992,45.36999893,137.5299988,243.95,10.75500011,73.05000305,3.2,18.03000069,90.26999664,13.65999985,47.16999817,13.63000011,374.4,41.22000122,30.75,244.8999939,48.45999908,47.65999985,182.1399994,32.0,94.91000366
837,9.770000458,14.22999954,5.590000153,6.659999847,72.5,507.0,37.75999832,31.69000053,111.9700012,43.02000046,159.9700012,109.8799973,41.81999969,4.855000019,11.68200016,9.088000298,26.70000076,35.99000168,11.90999985,45.84000015,135.8200073,245.34,10.71000004,72.55000305,3.245,18.30999947,89.90000153,14.40999985,47.79000092,13.80000019,378.0,41.5,31.64999962,242.3500061,48.97999954,48.56999969,182.1199951,32.77000046,96.5
838,9.770000458,14.22999954,5.590000153,6.659999847,72.5,507.0,37.75999832,31.69000053,111.9700012,43.02000046,159.9700012,109.8799973,41.81999969,4.855000019,11.68200016,9.088000298,26.70000076,35.99000168,11.90999985,45.84000015,135.8200073,245.34,10.71000004,72.55000305,3.245,18.30999947,89.90000153,14.40999985,47.79000092,13.80000019,378.0,41.5,31.64999962,242.3500061,48.97999954,48.56999969,182.1199951,32.77000046,96.5
839,9.770000458,14.22999954,5.590000153,6.659999847,72.5,501.0,37.84999847,32.13000107,114.3899994,41.49000168,162.5,110.8799973,42.93000031,4.991499901,11.94400024,9.159999847,26.90999985,36.47999954,12.11999989,46.11000061,136.7899933,243.3,10.81000042,72.65000153,3.256,18.73999977,90.80999756,14.24499989,48.02000046,13.89999962,379.4,41.61000061,32.43000031,242.8000031,49.97999954,49.29999924,183.3399963,33.86999893,97.61000061
840,9.93999958,14.14999962,5.550000191,6.550000191,71.84999847,497.0,37.72000122,31.77000046,112.3300018,42.15999985,159.4100037,108.1900024,41.97999954,4.948999882,11.83600044,9.128000259,26.48999977,35.74000168,11.68000031,44.02000046,136.7599945,242.64,10.81499958,72.25,3.218,18.17000008,88.86000061,13.96000004,45.20000076,13.23999977,373.4,42.81000137,31.57999992,241.0500031,49.70000076,48.06000137,175.5,32.79000092,95.33000183
841,10.15999985,13.92000008,5.519999981,6.440000057,71.55999756,488.0,38.43999863,32.08000183,117.7099991,42.41999817,163.2700043,109.2699966,42.20000076,4.920000076,11.81000042,8.925999641,26.72999954,36.66999817,12.01000023,44.34999847,135.7599945,243.32,10.60999966,71.80000305,3.251,18.53000069,88.87999725,13.04500008,44.97000122,13.42000008,375.75,41.45999908,32.18999863,241.5,50.79999924,48.45000076,173.4600067,33.45000076,97.66999817
842,10.31999969,13.39000034,5.539999962,6.480000019,66.91000366,488.0,38.45000076,31.5,115.5599976,40.38000107,160.6199951,106.2799988,41.86999893,4.896999836,11.53999996,8.708000183,26.25,35.63000107,12.02999973,43.24000168,132.0200043,243.68,10.52499962,71.55000305,3.253,18.32999992,86.01000214,12.85499954,44.52999878,13.23999977,367.3,40.77000046,31.13999939,245.3999939,48.81999969,47.77000046,168.4799957,32.83000183,94.83000183
843,10.07999992,13.31000042,5.369999886,6.159999847,66.31999969,484.0,38.34999847,31.01000023,113.1299973,40.13999939,156.4499969,106.1100006,40.99000168,4.919499874,11.44400024,8.597999573,25.79999924,35.08000183,11.81000042,43.20999908,135.8099976,243.8,10.56499958,69.94999695,3.242,17.85000038,84.79000092,12.5,43.77999878,13.10000038,359.05,40.72999954,30.73999977,236.3000031,47.47999954,46.99000168,162.7799988,31.69000053,93.20999908
844,10.07999992,13.31000042,5.369999886,6.159999847,66.31999969,484.0,38.34999847,31.01000023,113.1299973,40.13999939,156.4499969,106.1100006,40.99000168,4.919499874,11.44400024,8.597999573,25.79999924,35.08000183,11.81000042,43.20999908,135.8099976,243.8,10.56499958,69.94999695,3.242,17.85000038,84.79000092,12.5,43.77999878,13.10000038,359.05,40.72999954,30.73999977,236.3000031,47.47999954,46.99000168,162.7799988,31.69000053,93.20999908
845,10.0,13.51000023,5.349999905,6.079999924,63.99000168,484.0,38.15000153,30.89999962,112.8700027,40.09999847,156.8999939,106.8099976,41.34999847,4.930500031,11.22399998,8.539999962,25.95000076,34.75,11.89999962,43.38999939,137.0399933,244.21,10.51500034,69.65000153,3.2725,18.04999924,86.83999634,12.25500011,43.38999939,13.52000046,358.25,40.93000031,31.20999908,232.3500061,47.47999954,47.59000015,154.6600037,32.06000137,93.19999695
846,10.07999992,13.35999966,5.159999847,6.059999943,66.37999725,484.0,37.59999847,31.0,112.0699997,38.11999893,156.2799988,105.6399994,40.70999908,4.840499878,11.14000034,8.244000435,25.80999947,34.61000061,11.93000031,42.77999878,133.3099976,221.15,10.36499977,69.09999847,3.0755,17.89999962,85.69000244,11.89999962,42.75999832,13.53999996,330.9,40.43000031,31.18000031,235.25,45.93999863,47.11000061,151.0399933,31.82999992,92.44000244
